id,date_account_created,timestamp_first_active,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
1a94it2kfm,2011-05-05,20110505215743,2011-05-08,-unknown-,,basic,3,en,direct,direct,linked,Web,Windows Desktop,Firefox,AU
zxj57fki8b,2013-11-24,20131124071450,2013-12-19,-unknown-,52.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,IE,AU
xznbazwbu5,2012-11-02,20121102054517,2012-11-08,FEMALE,30.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,AU
j5n5dwonfo,2014-05-17,20140517035623,2014-05-21,FEMALE,,basic,0,en,sem-brand,google,linked,Web,Windows Desktop,Firefox,AU
xap4hnx739,2013-12-01,20131201183615,2013-12-04,MALE,32.0,basic,0,en,sem-brand,google,untracked,Web,Windows Desktop,IE,AU
y3eyjq3mbe,2013-09-04,20130904164321,2013-09-19,-unknown-,37.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,AU
gu8030yz7t,2014-06-23,20140623201328,2014-07-01,-unknown-,57.0,basic,0,en,other,other,tracked-other,Web,iPad,Mobile Safari,AU
0dudvax1ew,2014-05-01,20140501192247,2014-07-16,MALE,24.0,facebook,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,AU
r0yry2ibuz,2013-09-07,20130907193150,2013-09-26,-unknown-,,basic,0,de,direct,direct,untracked,Web,Windows Desktop,Firefox,AU
rsj3csej3x,2012-06-17,20120617002814,2013-04-07,FEMALE,46.0,facebook,1,en,direct,direct,untracked,Web,Windows Desktop,IE,AU
sgzq11ernx,2014-01-17,20140117080302,2014-01-19,MALE,39.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,AU
6fi67uerlo,2013-08-31,20130831034417,2014-01-26,FEMALE,40.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,AU
whbr90ahia,2013-01-02,20130102221421,2013-01-19,MALE,,basic,12,en,api,other,product,Moweb,iPhone,Mobile Safari,AU
2fi06ywmjg,2013-11-25,20131125195616,2013-11-25,FEMALE,24.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,AU
3ei4uvesog,2014-02-04,20140204112802,2014-09-11,-unknown-,,basic,24,en,direct,direct,untracked,Moweb,Mac Desktop,Chrome,AU
jbidkbct8a,2013-06-12,20130612005345,2013-06-15,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,AU
hyj7q4pz9m,2013-08-05,20130805022157,2013-08-05,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,AU
08m4hvmfpb,2012-07-15,20120715195205,2012-07-18,FEMALE,32.0,basic,3,en,direct,direct,untracked,Web,Mac Desktop,Safari,AU
3gpyg4picc,2012-11-23,20121123072319,2013-02-18,FEMALE,34.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,AU
wwqulf8oer,2013-09-30,20130930021801,2013-10-04,FEMALE,,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,AU
dzvaevi06m,2013-06-16,20130616082430,2013-06-23,-unknown-,,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,AU
mi0qjaqrd4,2011-10-10,20111010015702,2011-10-23,MALE,30.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,AU
o97chl57g9,2014-02-25,20140225215601,2014-03-18,-unknown-,48.0,basic,0,en,sem-non-brand,google,untracked,Web,Mac Desktop,Firefox,AU
2azyynwz7e,2012-02-27,20120227172751,2012-02-28,MALE,54.0,facebook,3,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,CA
lzixblgza4,2012-05-30,20120530165415,2012-05-30,FEMALE,29.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,CA
eaotrbpjsk,2012-05-17,20120517043314,2012-07-20,MALE,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
4x2mq0oon4,2014-03-31,20140331185232,2014-04-11,-unknown-,18.0,basic,0,en,direct,direct,product,Web,Windows Desktop,IE,CA
9b3je97ad7,2011-07-08,20110708052607,2011-07-08,-unknown-,,basic,3,en,direct,direct,,Web,Other/Unknown,-unknown-,CA
gz7f55vvg1,2011-08-18,20110818121133,2011-08-21,MALE,29.0,basic,3,en,direct,direct,untracked,Web,Mac Desktop,Firefox,CA
k2qf57c7lp,2013-12-08,20131208200528,2013-12-09,-unknown-,26.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,CA
opyoe3hc0g,2012-03-04,20120304014220,2012-03-20,MALE,29.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,CA
tbhan9n3x5,2013-05-22,20130522050632,2013-06-04,FEMALE,24.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,CA
vdw3a32f5y,2012-04-17,20120417084725,2012-12-01,FEMALE,28.0,basic,0,en,sem-non-brand,google,untracked,Web,Windows Desktop,Chrome,CA
ggftw4yhi1,2014-04-22,20140422005241,2014-08-01,MALE,33.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,CA
w1ce7nono1,2014-04-06,20140406174802,2015-02-10,MALE,27.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,CA
odkqy6pmue,2013-06-26,20130626235146,2013-06-27,FEMALE,33.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,IE,CA
xwiamyrjek,2014-06-16,20140616173349,2014-06-16,MALE,49.0,basic,25,en,direct,direct,omg,iOS,Windows Desktop,Firefox,CA
rkapv57861,2013-04-14,20130414012448,2013-07-28,FEMALE,26.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
jk11iskw06,2013-08-05,20130805180652,2013-08-07,-unknown-,,basic,0,en,direct,direct,linked,Web,Windows Desktop,IE,CA
pv3gvwwvgv,2013-05-01,20130501035825,2013-05-11,MALE,23.0,facebook,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Firefox,CA
yj3odq6f7z,2012-04-24,20120424062349,2012-05-10,FEMALE,44.0,basic,0,en,sem-non-brand,google,untracked,Web,Windows Desktop,IE,CA
k73c8hcxz3,2011-04-09,20110409013949,2011-05-05,-unknown-,29.0,facebook,2,en,other,craigslist,untracked,Web,Windows Desktop,Chrome,CA
j8iik5lpon,2013-04-04,20130404041920,2013-04-05,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
pr5h3c0rss,2013-02-24,20130224021309,2013-02-24,FEMALE,65.0,facebook,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,CA
evgmevfnk4,2013-06-14,20130614003540,2013-06-14,MALE,45.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,CA
moroc35w2i,2014-06-29,20140629172207,2014-07-01,MALE,54.0,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,IE,CA
d00m12aq2j,2014-01-31,20140131024839,2014-01-31,MALE,29.0,basic,25,en,direct,direct,linked,iOS,Mac Desktop,Safari,CA
5uocvwnlfu,2013-01-28,20130128021625,2013-01-30,-unknown-,,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,CA
bhghfivego,2014-03-26,20140326233222,2014-03-27,-unknown-,,basic,0,en,sem-non-brand,bing,omg,Web,Windows Desktop,Firefox,CA
d4ortgo3m7,2011-09-29,20110929181659,2011-09-29,-unknown-,,basic,2,en,sem-non-brand,google,omg,Web,Windows Desktop,IE,CA
l8nu1stfps,2013-11-05,20131105052726,2013-11-12,FEMALE,18.0,basic,0,en,seo,facebook,linked,Web,Windows Desktop,Chrome,CA
1zmrspkpan,2013-10-28,20131028194211,2013-10-28,-unknown-,19.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,CA
f28koegpda,2012-09-13,20120913022719,2012-09-14,FEMALE,30.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,CA
yo0gdwz7ck,2014-04-25,20140425192320,2014-05-14,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,CA
aujyf8tapo,2012-07-30,20120730025717,2012-07-30,MALE,34.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,CA
48m9nlxavw,2014-02-28,20140228032735,2014-03-05,MALE,29.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
6srca3vjct,2012-03-28,20120328090919,2012-03-28,MALE,30.0,facebook,3,fr,remarketing,google,omg,Web,Mac Desktop,Chrome,CA
19jfu62g8s,2013-09-05,20130905030704,2013-09-05,-unknown-,,basic,0,zh,direct,direct,untracked,Web,Mac Desktop,Firefox,CA
csvs2mgrqb,2013-05-15,20130515062415,2013-05-23,FEMALE,49.0,facebook,0,en,sem-non-brand,bing,omg,Web,Windows Desktop,Firefox,CA
giequm3ram,2014-04-16,20140416000008,2014-04-16,MALE,29.0,facebook,0,en,seo,google,linked,Web,Mac Desktop,Chrome,CA
diqea4tg7b,2013-11-13,20131113020848,2013-11-13,-unknown-,33.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
dx8gzv0xpn,2014-05-21,20140521011154,2014-05-21,MALE,32.0,basic,0,en,direct,direct,untracked,Web,Desktop (Other),Chrome,CA
2amcc718bq,2013-02-06,20130206190841,2013-02-06,FEMALE,31.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
864ey23cqw,2014-03-15,20140315004209,2014-03-15,FEMALE,57.0,basic,0,en,sem-non-brand,google,omg,Web,iPad,Mobile Safari,CA
u3y2gskdj8,2012-09-22,20120922100924,2013-07-05,MALE,37.0,facebook,3,en,direct,direct,linked,Web,Mac Desktop,Safari,CA
wfuh8ivls0,2012-04-17,20120417044211,2012-04-29,-unknown-,35.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
vwg41o1voz,2013-04-13,20130413225855,2013-07-09,MALE,,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,IE,CA
n41ay50zho,2014-05-16,20140516210457,2014-05-23,-unknown-,19.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
r7a06zrv6u,2012-04-25,20120425190027,2012-04-30,MALE,43.0,facebook,0,en,sem-non-brand,google,linked,Web,Mac Desktop,Chrome,CA
adqf1m1qwq,2012-10-12,20121012151218,2012-10-12,-unknown-,,basic,12,en,api,other,,Moweb,Other/Unknown,-unknown-,CA
dbdx4bjbqz,2012-09-22,20120922062308,2012-09-23,MALE,53.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,CA
70mftqc2zf,2013-11-26,20131126025037,2013-11-26,MALE,29.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
za9ponopki,2014-06-06,20140606035043,2014-06-11,FEMALE,30.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,CA
y8z2jyhbwm,2013-08-23,20130823003455,2013-08-23,-unknown-,,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,CA
2klq1leufa,2014-01-28,20140128121613,2014-03-31,-unknown-,41.0,basic,12,en,api,other,untracked,Android,Other/Unknown,-unknown-,CA
zx82pr9lx7,2013-04-06,20130406230239,2013-04-07,-unknown-,,basic,0,en,sem-brand,google,untracked,Web,Windows Desktop,Chrome,CA
c214iierl8,2013-05-14,20130514011518,2013-06-11,FEMALE,27.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,CA
p5blybubd9,2011-05-22,20110522211146,2011-06-07,-unknown-,,basic,2,en,content,google,,Web,Other/Unknown,-unknown-,CA
ptukabskx8,2013-08-31,20130831070622,2014-04-30,-unknown-,,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,IE,CA
yqj5nt6iy4,2010-09-08,20100908190145,2010-09-21,-unknown-,41.0,basic,2,en,direct,direct,linked,Web,Mac Desktop,Safari,CA
ug55ct4hub,2014-03-30,20140330051035,2014-03-30,-unknown-,49.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,CA
d8x8r3e6lp,2011-07-23,20110723113423,2011-07-28,-unknown-,40.0,basic,0,en,other,craigslist,untracked,Web,Windows Desktop,IE,CA
2dxyad3xdg,2013-07-06,20130706034009,2013-07-06,-unknown-,44.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
iubt6stj2r,2013-04-26,20130426165538,2013-05-01,-unknown-,,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,IE,CA
b3mrp47ye8,2013-06-09,20130609221305,2013-06-11,FEMALE,46.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,CA
qbh0e3vbon,2012-03-16,20120316023624,2012-03-17,FEMALE,29.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,CA
cm0nbuxqmw,2014-01-01,20140101182449,2014-02-05,-unknown-,,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,CA
pp6mcf57iz,2012-04-06,20120406042626,2012-04-09,-unknown-,,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,CA
jypc2v9yjv,2012-09-03,20120903201452,2012-09-04,MALE,41.0,basic,12,en,api,other,untracked,iOS,Mac Desktop,Chrome,CA
is1tr30iti,2013-09-06,20130906175333,2014-03-24,FEMALE,30.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
v2b6fhyam9,2014-05-22,20140522170852,2014-05-22,-unknown-,,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,CA
fkmasbxcrh,2013-03-15,20130315042158,2013-03-25,MALE,37.0,facebook,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,CA
t9k9ibsrfj,2012-10-24,20121024151942,2012-10-26,-unknown-,45.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
o6xnzhk3w4,2014-01-25,20140125200006,2014-01-26,MALE,30.0,facebook,12,en,api,other,tracked-other,iOS,Mac Desktop,Safari,CA
9di5mazblo,2013-12-20,20131220064539,2013-12-21,MALE,35.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,CA
6pgz2c1neq,2013-04-03,20130403053212,2013-04-04,FEMALE,21.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,CA
5wyisg8w31,2014-05-30,20140530045030,2014-06-08,FEMALE,31.0,basic,0,en,direct,direct,untracked,Web,Android Tablet,IE,CA
8khgzakbb2,2013-06-11,20130611225404,2013-06-14,MALE,62.0,basic,0,en,sem-brand,google,linked,Web,Mac Desktop,Firefox,CA
sz8db1abi5,2011-05-12,20110512154124,2011-05-12,FEMALE,31.0,basic,2,en,direct,direct,linked,Web,Mac Desktop,Chrome,CA
lb46vptmgi,2010-10-08,20101008063044,2010-10-18,MALE,,basic,2,en,other,craigslist,untracked,Web,Windows Desktop,Chrome,CA
ej49u4khkg,2013-06-12,20130612171836,2013-06-12,FEMALE,36.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,CA
ulyb4exa8v,2013-07-10,20130710041938,2013-07-11,-unknown-,,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,CA
inv6an0aqz,2014-02-12,20140212001149,2014-02-14,FEMALE,28.0,basic,0,en,direct,direct,omg,Web,Mac Desktop,Safari,CA
bsl9c1a9ld,2014-06-06,20140606053849,2014-06-15,FEMALE,27.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
kfgr1ybp8m,2012-11-16,20121116025625,2012-11-16,MALE,30.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,CA
seamvhhvc2,2013-08-29,20130829195716,2013-08-31,MALE,22.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
avmxvd6mwq,2013-08-08,20130808064733,2013-08-10,FEMALE,22.0,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,CA
k9vu8zenih,2013-04-07,20130407010618,2013-04-07,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,CA
add69mxrwb,2013-04-29,20130429203542,2013-05-04,-unknown-,54.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
nkwbwnicud,2013-04-01,20130401202929,2013-04-02,MALE,39.0,basic,0,en,sem-brand,google,untracked,Web,Mac Desktop,Safari,CA
r43ieq16iy,2012-09-16,20120916115304,2012-10-14,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
oh7dmyoiar,2013-06-23,20130623074231,2013-06-25,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,CA
fbkx7531sy,2014-02-20,20140220205555,2014-03-03,MALE,41.0,basic,25,en,direct,direct,linked,iOS,Mac Desktop,Safari,CA
y4r0x5vqyu,2013-08-14,20130814173022,2013-08-17,-unknown-,2014.0,basic,0,en,sem-non-brand,google,omg,Web,iPad,Mobile Safari,CA
pc5jug137y,2013-09-13,20130913001919,2014-08-27,-unknown-,,basic,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,CA
o9bkdemvmq,2012-07-13,20120713142028,2012-07-13,FEMALE,32.0,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Firefox,CA
oro70xaii5,2014-03-08,20140308071456,2015-02-17,-unknown-,34.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,CA
oz3ous8gnt,2012-05-17,20120517152544,2012-05-27,FEMALE,38.0,basic,3,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
hsqwy0ly3h,2012-07-27,20120727140502,2012-07-27,-unknown-,,basic,3,en,sem-non-brand,google,omg,Web,Windows Desktop,Firefox,CA
53isabsm2v,2012-07-22,20120722031431,2012-07-22,MALE,65.0,basic,3,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,CA
y15pxoz3nl,2014-06-04,20140604002948,2014-06-04,-unknown-,28.0,basic,0,en,seo,google,linked,Web,Windows Desktop,Chrome,CA
0w2h9bz50j,2014-06-19,20140619075909,2014-06-20,-unknown-,,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,CA
8b0lo9judh,2010-10-03,20101003021957,2010-10-03,-unknown-,,basic,3,en,sem-non-brand,vast,,Web,Other/Unknown,-unknown-,CA
af5ddbrz8i,2013-01-20,20130120070453,2013-01-23,-unknown-,35.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
fsk6lr29fx,2014-05-13,20140513054115,2014-05-21,-unknown-,31.0,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,CA
qppr2zuqsp,2014-04-18,20140418062131,2014-04-22,MALE,32.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,CA
kxay7uc8j0,2013-10-19,20131019021850,2013-10-20,-unknown-,,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,CA
lmjk2oke9p,2012-10-18,20121018070557,2012-10-18,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,CA
0g99nkfpzq,2013-04-16,20130416173304,2013-04-16,FEMALE,26.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
i6f5w9kh19,2013-07-17,20130717185609,2013-07-18,MALE,34.0,basic,25,en,direct,direct,untracked,iOS,Windows Desktop,Chrome,CA
hkjs0lhs2m,2013-08-01,20130801235241,2013-08-02,-unknown-,53.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,CA
v817bd3dqn,2013-02-03,20130203022354,2013-02-04,-unknown-,36.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,CA
0azezw1b7z,2014-05-06,20140506212738,2014-05-10,FEMALE,30.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
hv92gi6vmm,2012-04-05,20120405165358,2012-04-19,MALE,34.0,facebook,3,en,direct,direct,untracked,Web,Windows Desktop,Firefox,CA
7650646q6m,2011-05-22,20110522150723,2011-05-25,-unknown-,,basic,2,en,other,craigslist,untracked,Web,iPad,Mobile Safari,CA
38obyk80s9,2012-04-26,20120426160832,2012-10-01,FEMALE,36.0,basic,0,en,seo,google,linked,Web,Mac Desktop,Chrome,CA
idqf3km9tc,2013-05-08,20130508020043,2013-05-08,MALE,64.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,CA
mmdipk359y,2013-07-19,20130719024615,2013-07-20,MALE,67.0,basic,0,en,sem-non-brand,google,untracked,Web,Mac Desktop,Chrome,CA
3yv711uwyd,2013-10-03,20131003181856,2014-05-06,FEMALE,39.0,facebook,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Firefox,CA
r2sgbh97w5,2011-09-10,20110909134202,2011-09-09,MALE,60.0,basic,2,en,sem-brand,bing,linked,Web,Windows Desktop,Firefox,CA
ml8r5c1lfj,2012-05-20,20120520212337,2012-05-21,-unknown-,,basic,0,en,other,craigslist,tracked-other,Web,Mac Desktop,Firefox,CA
2sczxf4qzd,2013-07-15,20130715141720,2013-07-15,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPhone,Mobile Safari,CA
ewelb532w4,2012-05-13,20120513182016,2012-05-14,MALE,56.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,CA
66yeo4glpt,2014-03-28,20140328221210,2014-03-29,-unknown-,21.0,basic,0,en,seo,google,linked,Web,Windows Desktop,Chrome,CA
gnfgi74a4h,2011-09-14,20110914224958,2011-09-15,MALE,33.0,facebook,3,en,sem-non-brand,google,untracked,Web,Mac Desktop,Chrome,CA
hh2031glxu,2011-07-25,20110721223429,2011-07-21,MALE,33.0,facebook,0,en,direct,direct,,Web,Other/Unknown,-unknown-,CA
52pimwkumq,2013-09-12,20130912013445,2013-09-12,FEMALE,26.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
tjw4tq6xmy,2013-05-23,20130523020803,2013-05-24,MALE,35.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
05nr9v2c64,2013-08-06,20130806182213,2013-08-06,MALE,63.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
n4kq38ggcg,2013-04-09,20130409164032,2013-12-08,MALE,33.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,CA
jvmvft5gc1,2012-09-05,20120905233205,2012-09-06,FEMALE,59.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,CA
4227ujj4kd,2014-05-28,20140528043317,2014-05-30,FEMALE,31.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,CA
9oz5fbhaw7,2013-07-03,20130703160331,2014-04-11,MALE,54.0,basic,0,en,other,facebook-open-graph,tracked-other,Web,Mac Desktop,Chrome,CA
cxlcx6bv29,2012-08-18,20120818011303,2012-08-18,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,CA
halmmx3ltn,2014-06-19,20140619072657,2014-06-20,-unknown-,19.0,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,CA
p89defpxfd,2012-09-03,20120903215109,2013-08-24,FEMALE,39.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
cczrbc47ec,2010-05-23,20100523203337,2010-11-12,-unknown-,33.0,basic,3,en,seo,google,untracked,Web,Mac Desktop,Safari,CA
v5dq4tamvx,2013-04-25,20130425080354,2013-06-09,MALE,40.0,facebook,0,en,seo,google,linked,Web,Mac Desktop,Chrome,DE
